name;price;quality;cardtype;elementaltype;iscustom;source;booster;balance;
Tangela;10.5;8;Holographic;Darkness;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Kabuto;3.5;4;Holographic;Water;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Ivysaur;1;4;Common;Darkness;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Poliwag;2;7;Common;Water;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Abra;7;7;Holographic;Fire;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Squirtle;6;9;Common;Darkness;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Omastar;0.6;2;Common;Fire;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Beedrill;0.6;2;Common;Darkness;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Pidgeotto;0.8;3;Common;Water;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Mr. Mime;1.4;6;Common;Water;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
Graveler;0.4;1;Common;Grass;False;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
dsads;8.4;6;FullArt;Grass;True;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
dsad;8.4;6;FullArt;Light;True;../../../Images/PokemonCards/Holographic/h5.jpg;1;28
